,WeekType,Time,Station,Direction1,Direction2
593,WEEKDAY,3,CC24,0,0
594,WEEKDAY,3,CC25,0,0
595,WEEKDAY,3,CC26,0,0
596,WEEKDAY,3,CC27,0,0
597,WEEKDAY,3,CC28,0,0
598,WEEKDAY,3,CC29,0,0
599,WEEKDAY,3,DT1,0,0
600,WEEKDAY,3,DT2,0,0
601,WEEKDAY,3,DT3,0,0
602,WEEKDAY,3,DT4,0,0
603,WEEKDAY,3,DT5,0,0
604,WEEKDAY,3,DT6,0,0
605,WEEKDAY,3,DT7,0,0
606,WEEKDAY,3,DT8,0,0
607,WEEKDAY,3,DT9,0,0
608,WEEKDAY,3,DT10,0,0
609,WEEKDAY,3,DT11,0,0
610,WEEKDAY,3,DT12,0,0
611,WEEKDAY,3,DT13,0,0
612,WEEKDAY,3,DT14,0,0
613,WEEKDAY,3,DT15,0,0
614,WEEKDAY,3,DT16,0,0
615,WEEKDAY,3,DT17,0,0
616,WEEKDAY,3,DT18,0,0
617,WEEKDAY,3,DT19,0,0
618,WEEKDAY,3,DT20,0,0
619,WEEKDAY,3,DT21,0,0
620,WEEKDAY,3,DT22,0,0
621,WEEKDAY,3,DT23,0,0
622,WEEKDAY,3,DT24,0,0
623,WEEKDAY,3,DT25,0,0
624,WEEKDAY,3,DT26,0,0
625,WEEKDAY,3,DT27,0,0
626,WEEKDAY,3,DT28,0,0
627,WEEKDAY,3,DT29,0,0
628,WEEKDAY,3,DT30,0,0
629,WEEKDAY,3,DT31,0,0
630,WEEKDAY,3,DT32,0,0
631,WEEKDAY,3,DT33,0,0
632,WEEKDAY,3,DT34,0,0
633,WEEKDAY,3,DT35,0,0
634,WEEKDAY,3,TE1,0,0
635,WEEKDAY,3,NS9/TE2,0,0
636,WEEKDAY,3,TE3,0,0
637,WEEKDAY,3,TE4,0,0
638,WEEKDAY,3,TE5,0,0
639,WEEKDAY,3,TE6,0,0
640,WEEKDAY,3,TE7,0,0
641,WEEKDAY,3,TE8,0,0
